round,date,n1,n2,n3,n4,n5,n6,bonus,prize1_winners,prize1_amount,total_sales
1,2002-12-07,10,23,29,33,37,40,16,1,143934100,3681782000
2,2002-12-14,9,13,21,25,32,42,2,2,94866800,4904274000
3,2002-12-21,11,16,19,21,27,31,30,,,4729342000
4,2002-12-28,14,27,30,31,40,42,2,1,211191200,5271464000
5,2003-01-04,16,24,29,40,41,42,3,,,6277102000
6,2003-01-11,14,15,26,27,40,42,34,3,196297600,15305356000
7,2003-01-18,2,9,16,25,26,40,42,9,48165000,12794890000
8,2003-01-25,8,19,25,34,37,39,9,6,131555000,20751450000
9,2003-02-01,2,4,16,17,36,39,14,4,769456500,73624020000
10,2003-02-08,9,25,30,33,41,44,6,236,40813400,260856392000
11,2003-02-15,1,7,36,37,41,42,14,11,362132700,91925306000
12,2003-02-22,2,11,21,25,39,45,44,27,99914400,76255508000
13,2003-03-01,22,23,25,37,38,42,26,6,433309300,66532136000
14,2003-03-08,2,6,12,31,33,40,15,28,130363400,99838648000
15,2003-03-15,3,4,16,30,31,37,13,16,177231700,73264910000
16,2003-03-22,6,7,24,37,38,40,33,12,243174700,75777348000
17,2003-03-29,3,4,9,17,32,37,1,9,297193900,72718152000
18,2003-04-05,3,12,13,19,32,35,29,15,175017300,66371660000
19,2003-04-12,6,30,38,39,40,43,26,14,297278500,105957818000
20,2003-04-19,10,14,18,20,23,30,41,14,230383400,81056776000
21,2003-04-26,6,12,17,18,31,32,21,26,117576500,84247142000
22,2003-05-03,4,5,6,8,17,39,25,32,94837300,79455152000
23,2003-05-10,5,13,17,18,33,42,44,23,125157900,77374256000
24,2003-05-17,7,8,27,29,36,43,6,18,176023700,78486634000
25,2003-05-24,2,4,21,26,43,44,16,28,175267400,120073768000
26,2003-05-31,4,5,7,18,20,25,31,39,74680900,80193026000
27,2003-06-07,1,20,26,28,37,43,27,16,198832900,76145050000
28,2003-06-14,9,18,23,25,35,37,1,22,128815200,75448366000
29,2003-06-21,1,5,13,34,39,40,11,17,174146700,74523120000
30,2003-06-28,8,17,20,35,36,44,4,22,132250800,72399690000
31,2003-07-05,7,9,18,23,28,35,32,29,93180100,71317306000
32,2003-07-12,6,14,19,25,34,44,11,49,55596200,71179198000
33,2003-07-19,4,7,32,33,40,41,9,41,60583400,67457252000
34,2003-07-26,9,26,35,37,40,42,2,45,56609500,69389894000
35,2003-08-02,2,3,11,26,37,43,39,24,105304100,66143062000
36,2003-08-09,1,10,23,26,28,40,31,19,140477800,66856686000
37,2003-08-16,7,27,30,33,35,37,42,20,124649900,65509794000
38,2003-08-23,16,17,22,30,37,43,36,18,149301800,67369284000
39,2003-08-30,6,7,13,15,21,43,8,25,104949900,66094476000
40,2003-09-06,7,13,18,19,25,26,6,44,56513100,65699086000
41,2003-09-13,13,20,23,35,38,43,34,21,109404000,57624562000
42,2003-09-20,17,18,19,21,23,32,1,35,131479800,119909740000
43,2003-09-27,6,31,35,38,39,44,1,21,140870000,74686296000
44,2003-10-04,3,11,21,30,38,45,39,23,121817200,69956950000
45,2003-10-11,1,10,20,27,33,35,17,27,103165600,71216232000
46,2003-10-18,8,13,15,23,31,38,39,39,68304600,68181568000
47,2003-10-25,14,17,26,31,36,45,27,11,246215300,67756694000
48,2003-11-01,6,10,18,26,37,38,3,25,96626900,65806832000
49,2003-11-08,4,7,16,19,33,40,30,49,46845300,64501142000
50,2003-11-15,2,10,12,15,22,44,1,14,186680700,65563234000
51,2003-11-22,2,3,11,16,26,44,35,26,93119800,62553680000
52,2003-11-29,2,4,15,16,20,29,1,13,200043300,64393446000
53,2003-12-06,7,8,14,32,33,39,42,25,100287400,64996010000
54,2003-12-13,1,8,21,27,36,39,37,15,171620800,63833006000
55,2003-12-20,17,21,31,37,40,44,7,24,98455500,62195764000
56,2003-12-27,10,14,30,31,33,37,19,29,86840700,65258932000
57,2004-01-03,7,10,16,25,29,44,6,25,109717600,70132666000
58,2004-01-10,10,24,25,33,40,44,1,39,62844900,66638136000
59,2004-01-17,6,29,36,39,41,45,13,23,119640200,67563698000
60,2004-01-24,2,8,25,36,39,42,11,27,93873600,65405936000
61,2004-01-31,14,15,19,30,38,43,8,11,268260500,73312994000
62,2004-02-07,3,8,15,27,29,35,21,22,119827900,66740368000
63,2004-02-14,3,20,23,36,38,40,5,26,101567200,67074050000
64,2004-02-21,14,15,18,21,26,36,39,11,236352600,65085154000
65,2004-02-28,4,25,33,36,40,43,39,27,92048000,66685144000
66,2004-03-06,2,3,7,17,22,24,45,19,129303000,63378796000
67,2004-03-13,3,7,10,15,36,38,33,62,39787700,64314872000
68,2004-03-20,10,12,15,16,26,39,38,20,122745000,63813236000
69,2004-03-27,5,8,14,15,19,39,35,20,124067800,63711302000
70,2004-04-03,5,19,22,25,28,43,26,14,179688400,63232578000
71,2004-04-10,5,9,12,16,29,41,21,28,88745200,62889986000
72,2004-04-17,2,4,11,17,26,27,1,44,104081800,125651214000
73,2004-04-24,3,12,18,32,40,43,38,26,106410000,72635862000
74,2004-05-01,6,15,17,18,35,40,23,40,66061800,68902158000
75,2004-05-08,2,5,24,32,34,44,28,19,137354900,66138372000
76,2004-05-15,1,3,15,22,25,37,43,17,146098400,65083924000
77,2004-05-22,2,18,29,32,43,44,37,19,135677800,64420666000
78,2004-05-29,10,13,25,29,33,35,38,22,106662100,61257794000
79,2004-06-05,3,12,24,27,30,32,14,31,73471910,60390004000
80,2004-06-12,17,18,24,25,26,30,1,16,143849375,60160440000
81,2004-06-19,5,7,11,13,20,33,6,20,113095370,60983308000
82,2004-06-26,1,2,3,14,27,42,39,20,121354120,61302808000
83,2004-07-03,6,10,15,17,19,34,14,15,157487740,62512062000
84,2004-07-10,16,23,27,34,42,45,11,17,150387824,62780760000
85,2004-07-17,6,8,13,23,31,36,21,31,74453975,59451304000
86,2004-07-24,2,12,37,39,41,45,33,16,148460275,59835968000
87,2004-07-31,4,12,16,23,34,43,26,33,99964337,83793642000
88,2004-08-07,1,17,20,24,30,41,27,31,66015262,51910612000
89,2004-08-14,4,26,28,29,33,40,37,30,70805365,55102179000
90,2004-08-21,17,20,29,35,38,44,10,34,64537948,55493544000
91,2004-08-28,1,21,24,26,29,42,27,32,74643800,59061052000
