round,date,n1,n2,n3,n4,n5,n6,bonus
1,,23,30,32,37,42,43,34
2,,18,24,25,31,32,40,12
3,,19,21,22,24,37,41,44
4,,2,6,13,18,19,32,3
5,,3,5,7,9,15,24,37
6,,11,19,23,28,29,44,39
7,,6,9,15,42,43,44,2
8,,1,16,32,40,41,45,42
9,,13,14,15,27,32,37,41
10,,6,17,21,32,41,44,16
11,,2,5,7,14,23,34,39
12,,2,3,8,10,26,29,19
13,,4,8,15,19,26,35,31
14,,1,14,21,23,29,42,33
15,,7,9,20,28,42,44,15
16,,1,4,19,31,38,40,36
17,,5,8,10,20,29,43,6
18,,6,7,16,25,29,33,22
19,,9,13,22,31,34,41,38
20,,10,12,20,29,44,45,41
21,,5,12,30,32,37,40,36
22,,9,15,18,27,37,39,20
23,,14,16,20,21,30,45,2
24,,5,9,28,37,41,44,26
25,,4,17,27,35,38,43,5
26,,2,17,36,37,38,43,34
27,,8,9,32,35,42,44,34
28,,13,18,20,26,27,34,45
29,,13,35,40,42,44,45,20
30,,1,4,12,24,44,45,35
31,,1,8,23,31,39,45,4
32,,2,9,10,28,30,34,31
33,,5,8,10,18,19,21,37
34,,2,18,22,32,41,43,37
35,,5,8,9,40,42,43,21
36,,3,4,21,26,34,44,22
37,,6,19,20,33,34,45,15
38,,1,4,6,12,27,39,44
39,,10,13,28,34,39,40,36
40,,2,4,6,22,23,42,38
41,,2,11,14,17,18,22,10
42,,6,7,20,38,40,43,5
43,,3,6,8,9,30,35,27
44,,1,20,21,32,37,45,26
45,,2,5,21,38,40,44,20
46,,18,29,30,36,38,44,25
47,,3,7,16,23,37,39,42
48,,5,8,18,22,31,35,25
49,,7,13,15,27,30,44,43
50,,10,15,30,31,41,43,40
51,,3,7,24,25,30,32,6
52,,2,4,14,25,31,44,17
53,,5,11,12,29,32,37,20
54,,8,12,13,26,33,37,19
55,,2,4,5,22,23,29,24
56,,8,9,13,24,29,40,28
57,,10,23,32,40,41,44,38
58,,4,5,22,29,42,45,25
59,,9,11,20,21,29,31,3
60,,11,15,36,37,40,43,5
61,,3,7,11,13,20,39,34
62,,1,12,22,30,36,37,11
63,,4,17,26,28,33,38,7
64,,2,4,22,34,36,38,3
65,,11,19,25,40,42,44,38
66,,3,5,9,13,41,43,30
67,,2,6,10,20,27,30,43
68,,9,27,29,36,38,43,11
69,,2,16,30,34,37,38,31
70,,6,10,15,16,22,42,39
71,,2,3,13,14,26,31,35
72,,3,4,6,20,25,32,7
73,,7,16,20,22,32,44,31
74,,4,18,32,33,38,41,39
75,,17,22,33,37,38,41,23
76,,4,17,23,30,31,45,35
77,,25,27,28,40,41,43,44
78,,1,3,8,16,33,38,14
79,,1,7,9,11,15,18,24
80,,2,14,19,31,34,44,42
81,,1,26,35,40,43,45,28
82,,3,28,35,37,40,42,9
83,,4,9,13,14,25,39,29
84,,2,13,32,34,40,43,27
85,,1,3,19,32,35,41,28
86,,5,6,11,28,42,43,19
87,,7,10,12,14,32,43,41
88,,5,17,27,38,40,43,3
89,,4,11,33,35,38,41,2
90,,5,11,14,16,21,45,6
91,,2,4,5,10,19,28,45
92,,9,11,24,29,36,41,14
93,,5,13,29,31,33,38,44
94,,4,6,16,21,31,45,40
95,,1,20,25,33,36,44,31
96,,12,14,18,21,42,45,8
97,,14,20,26,29,36,42,39
